player,team,primary_position,total_minutes,probability,decision,npga_p90,shots_p90,npxg_p90,touches_in_box_p90,key_passes_p90,pressures_p90
Gonzalo Gerardo Higuaín,Napoli,Center Forward,3052,0.9564,recommend,1.0321,5.367,0.6687,26.7169,1.386,11.8545
Edin Džeko,AS Roma,Center Forward,2079,0.8466,recommend,0.4329,3.8095,0.5152,30.5628,0.6494,13.2035
Manolo Gabbiadini,Napoli,Center Forward,621,0.7315,recommend,1.0145,4.3478,0.4303,15.942,1.4493,15.0725
Josef Alexander Martínez Mencia,Torino,Left Center Forward,980,0.7252,recommend,0.3673,3.2143,0.4571,13.9592,1.1939,12.8571
Stevan Jovetić,Inter Milan,Left Center Forward,1562,0.6706,recommend,0.4033,4.0333,0.4013,14.1741,1.7286,15.0384
Leonardo Pavoletti,Genoa,Center Forward,2065,0.6683,recommend,0.7409,2.9201,0.4677,21.4431,0.7845,13.9903
Nikola Kalinić,Fiorentina,Center Forward,2692,0.6627,recommend,0.5015,2.474,0.479,22.0654,0.5015,15.1114
Stephan El Shaarawy,AS Roma,Left Wing,1211,0.6452,recommend,0.7432,3.4187,0.4563,22.3699,0.8175,17.3163
Paulo Bruno Exequiel Dybala,Juventus,Right Center Forward,2500,0.4861,review,0.792,3.816,0.3633,15.372,2.268,18.036
Carlos Arturo Bacca Ahumada,AC Milan,Left Center Forward,3252,0.4728,review,0.4982,2.2417,0.383,21.4207,1.1347,13.0351
Mauro Emanuel Icardi Rivero,Inter Milan,Center Forward,2656,0.4638,review,0.6438,1.9992,0.3657,22.5339,0.9149,13.3848
Duván Esteban Zapata Banguera,Udinese,Right Center Forward,1589,0.4401,review,0.5664,2.9452,0.4076,22.4292,0.4531,14.6696
Ciro Immobile,Torino,Left Center Forward,1024,0.4353,review,0.4395,3.252,0.2956,22.1484,1.6699,15.8203
Antonio Di Natale,Udinese,Right Center Forward,1202,0.4275,review,0.2995,2.4709,0.2342,18.8686,1.6473,8.8353
Lorenzo Insigne,Napoli,Left Wing,2621,0.4268,review,0.6868,4.6356,0.2624,15.8985,1.9916,13.7009
Giampaolo Pazzini,Hellas Verona,Center Forward,2001,0.4161,review,0.1349,3.5532,0.3343,21.6342,0.4948,15.4273
Mario Barwuah Balotelli,AC Milan,Left Center Forward,902,0.4132,review,0.1996,4.2905,0.2743,12.7716,2.2949,13.3703
Luca Toni,Hellas Verona,Center Forward,1841,0.4036,review,0.1467,3.031,0.3645,26.6431,0.4889,10.5595
Khouma El Hadji Babacar,Fiorentina,Center Forward,842,0.3997,review,0.5344,3.2067,0.3636,21.057,0.5344,14.7506
Alberto Gilardino,Palermo,Center Forward,2418,0.3996,review,0.4094,1.8238,0.3023,22.2953,0.7444,10.794
Keita Baldé Diao,Lazio,Left Wing,1875,0.3958,review,0.24,3.024,0.2526,15.12,1.824,11.472
Simone Zaza,Juventus,Right Center Forward,720,0.383,review,0.625,3.875,0.3673,23.5,0.75,17.75
Fabio Quagliarella,Torino,Right Center Forward,2670,0.3604,review,0.2697,3.4045,0.3107,18.3034,0.573,19.8876
Gervais Lombe Yao Kouassi,AS Roma,Left Wing,1108,0.3202,review,0.5686,2.1931,0.3611,14.0523,0.9747,11.1282
Germán Gustavo Denis,Atalanta,Center Forward,1015,0.3184,review,0.3547,2.2167,0.2849,20.0394,1.4187,7.7143
Mauro Matías Zárate,Fiorentina,Left Wing,755,0.3143,review,0.3576,4.7682,0.3244,13.4702,1.1921,18.596
Andrea Belotti,Torino,Right Center Forward,2683,0.3103,review,0.369,2.4488,0.3383,16.2691,0.738,18.8856
Mohamed Salah,AS Roma,Right Wing,2781,0.3072,review,0.6472,2.3625,0.2751,17.7994,1.7152,14.6602
Antonio Cassano,Sampdoria,Center Forward,1270,0.3062,review,0.3543,1.2756,0.1799,15.0236,2.3386,10.2756
Cyril Théréau,Udinese,Left Center Forward,3040,0.2968,review,0.4145,2.25,0.3198,14.3882,1.3618,16.6974
Álvaro Borja Morata Martín,Juventus,Left Center Forward,1525,0.2928,review,0.7082,2.8918,0.3631,16.4656,1.1803,20.4197
Goran Pandev,Genoa,Left Center Forward,873,0.2887,review,0.0,1.7526,0.2768,20.8247,1.5464,17.0103
Alberto Paloschi,Chievo,Right Center Forward,1722,0.2764,review,0.4704,2.1429,0.3718,18.554,0.4704,18.5017
Dries Mertens,Napoli,Left Wing,1193,0.2747,review,0.7544,4.1492,0.2569,15.2389,1.9614,18.0302
Luis Fernando Muriel Fruto,Sampdoria,Center Forward,1757,0.2706,review,0.5635,2.8685,0.2827,15.9306,1.0757,16.0842
Marco Borriello,Atalanta,Center Forward,1690,0.2699,review,0.5325,2.929,0.2874,21.3018,0.7988,12.0888
Eder Citadin Martins,Sampdoria,Left Wing,2466,0.2525,review,0.4745,2.9197,0.2674,14.3796,0.7299,14.4161
Antonio Floro Flores,Sassuolo,Left Wing,1328,0.2507,review,0.4066,3.9985,0.2522,13.4187,1.0843,14.0964
Massimo Maccarone,Empoli,Left Center Forward,2814,0.2452,not recommended,0.5437,2.6226,0.2676,17.3667,0.9915,14.2004
Mario Mandžukić,Juventus,Left Center Forward,2095,0.2364,not recommended,0.6014,1.7184,0.3441,18.3866,0.9881,20.0191
Mattia Destro,Bologna,Center Forward,2215,0.2143,not recommended,0.3251,2.7223,0.2787,18.6501,0.3657,15.9278
José María Callejón Bueno,Napoli,Right Wing,2872,0.2139,not recommended,0.4074,2.0056,0.2566,16.828,1.2535,19.0529
Serge Gakpé,Genoa,Center Forward,913,0.2108,not recommended,0.3943,2.2673,0.2426,18.7295,0.9858,16.4622
Miroslav Klose,Lazio,Center Forward,1414,0.2032,not recommended,0.7638,1.9095,0.3194,21.8953,0.5728,14.7666
Ivan Perišić,Inter Milan,Left Wing,2511,0.2013,not recommended,0.4659,2.5448,0.2814,12.1147,0.7527,16.7025
Alejandro Darío Gómez,Atalanta,Left Wing,2899,0.1982,not recommended,0.4346,2.7009,0.185,10.307,1.9248,13.6909
M''Baye Babacar Niang,AC Milan,Right Center Forward,1155,0.1978,not recommended,0.3896,2.961,0.2571,17.3766,0.7792,18.7792
Antonio Candreva,Lazio,Right Wing,2247,0.1965,not recommended,0.2804,3.6048,0.2074,11.0948,1.3218,10.9746
Gregoire Defrel,Sassuolo,Center Forward,2135,0.1875,not recommended,0.4637,2.192,0.2576,16.0609,0.9274,23.5644
Uroš Đurđević,Palermo,Center Forward,505,0.1867,not recommended,0.5347,1.604,0.2769,18.1782,0.5347,19.2475
Maximiliano Nicol Moralez,Atalanta,Right Wing,1407,0.1825,not recommended,0.3198,1.6631,0.2192,12.6652,2.3667,25.9701
Domenico Berardi,Sassuolo,Right Wing,2268,0.1609,not recommended,0.3968,3.4921,0.2056,10.8333,1.2302,19.246
Matteo Politano,Sassuolo,Right Wing,1096,0.1598,not recommended,0.5748,3.531,0.2301,9.0328,1.3139,18.2299
Carlos Joaquín Correa,Sampdoria,Left Wing,1374,0.1587,not recommended,0.262,2.2926,0.2576,7.5328,1.31,21.7467
Maximiliano Gastón López,Torino,Right Center Forward,1184,0.1537,not recommended,0.3041,1.9764,0.2294,22.1199,0.7601,15.5068
Mauricio Ricardo Pinilla Ferreira,Atalanta,Center Forward,1431,0.1537,not recommended,0.4403,2.7044,0.1721,19.6855,0.9434,16.3522
Sergio Pellissier,Chievo,Right Center Forward,995,0.1485,not recommended,0.2714,1.9899,0.2105,14.201,1.1759,14.7437
Stipe Perica,Udinese,Right Center Forward,486,0.1467,not recommended,0.3704,2.963,0.2222,21.1111,0.5556,18.7037
Rodrigo Sebastián Palacio,Inter Milan,Right Center Forward,1471,0.1461,not recommended,0.3671,1.0401,0.2004,15.6016,1.5296,21.5364
Darko Lazović,Genoa,Right Wing,685,0.1419,not recommended,0.2628,2.2336,0.1924,10.5109,1.4453,16.4234
Jerry Uche Mbakogu,Carpi,Center Forward,1739,0.1412,not recommended,0.1553,1.8114,0.1707,20.8568,1.0868,12.6797
Luiz Adriano de Souza da Silva,AC Milan,Right Center Forward,1262,0.1391,not recommended,0.4279,1.8542,0.2092,17.6862,0.7845,16.5452
Federico Dionisi,Frosinone,Left Center Forward,2523,0.133,not recommended,0.3924,3.0678,0.1857,13.805,0.8918,19.9762
Cristian Tello Herrera,Fiorentina,Right Wing,1092,0.1314,not recommended,0.4945,1.8132,0.2262,9.8077,1.4835,16.8132
Daniel Ciofani,Frosinone,Center Forward,2999,0.1299,not recommended,0.2401,2.3108,0.1958,19.5665,1.0504,16.3254
Nicola Sansone,Sassuolo,Left Wing,2640,0.1263,not recommended,0.375,2.1477,0.1666,12.5795,1.4659,18.5455
Jesús Joaquín Fernández Sáez de la Torre,Genoa,Right Wing,1238,0.1247,not recommended,0.5089,2.8352,0.1476,4.8708,2.399,14.0307
Matteo Mancosu,Carpi,Center Forward,954,0.1215,not recommended,0.0943,1.1321,0.2165,15.6604,0.9434,23.0189
Sergio Floccari,Bologna,Center Forward,1629,0.1173,not recommended,0.3867,2.5414,0.2153,22.2652,0.7182,20.3315
Diego Falcinelli,Sassuolo,Center Forward,1183,0.114,not recommended,0.1522,1.9019,0.1483,23.9645,1.1412,24.7253
Alessio Cerci,AC Milan,Right Wing,1346,0.1026,not recommended,0.2006,2.6077,0.1403,10.8321,1.3373,16.7162
Roberto Inglese,Chievo,Left Center Forward,1446,0.1024,not recommended,0.249,2.1784,0.1604,16.4315,0.6846,18.4232
Manuel Pucciarelli,Empoli,Right Center Forward,3156,0.0976,not recommended,0.2567,1.654,0.1912,16.0837,1.1122,19.962
Felipe Anderson Pereira Gomes,Lazio,Right Wing,2164,0.093,not recommended,0.4575,2.0795,0.2078,8.0268,0.9566,22.3336
Emanuele Giaccherini,Bologna,Left Wing,2243,0.0886,not recommended,0.2809,1.8457,0.1415,8.5867,1.7254,14.5252
Filip Đorđević,Lazio,Center Forward,1361,0.0864,not recommended,0.3306,1.3226,0.1903,22.5496,0.7274,22.748
Tim Matavž,Genoa,Left Center Forward,482,0.0824,not recommended,0.0,1.8672,0.1444,19.6058,0.7469,20.9129
Alessandro Matri,Lazio,Center Forward,873,0.0807,not recommended,0.5155,1.2371,0.22,21.5464,0.6186,9.5876
Aleksandar Trajkovski,Palermo,Left Center Forward,1725,0.0781,not recommended,0.2087,2.0348,0.1419,10.6957,1.1478,21.7565
Juan Ignacio Gómez Taleb,Hellas Verona,Left Wing,1929,0.0777,not recommended,0.0467,1.6796,0.1266,16.1897,1.0264,16.7496
Aleksandar Tonev,Frosinone,Right Wing,1133,0.0638,not recommended,0.0794,2.5419,0.0774,4.2895,0.7944,16.0459
Marko Livaja,Empoli,Right Center Forward,671,0.0608,not recommended,0.1341,2.1461,0.1011,11.9374,0.6706,20.6557
Ante Rebić,Hellas Verona,Left Wing,781,0.0595,not recommended,0.1152,1.959,0.1436,12.2151,0.4609,21.3188
Ricardo Kishna,Lazio,Left Wing,582,0.0571,not recommended,0.3093,1.3918,0.1093,8.6598,1.701,17.1649
Riccardo Meggiorini,Chievo,Right Center Forward,1694,0.0522,not recommended,0.5844,2.072,0.1481,15.1948,0.9032,22.9516
Oliver Kragl,Frosinone,Left Wing,951,0.0512,not recommended,0.0946,2.9338,0.0966,4.3533,1.041,23.3754
Diego Ángel Capel Trinidad,Genoa,Right Wing,768,0.051,not recommended,0.0,1.6406,0.1318,8.2031,1.0547,18.1641
Marco D''Alessandro,Atalanta,Right Wing,1223,0.0503,not recommended,0.3679,1.0303,0.153,8.1684,1.0303,16.4105
Diego Perotti,Genoa,Left Wing,2427,0.0474,not recommended,0.445,1.4833,0.1118,8.529,2.1508,23.733
Iago Falqué Silva,AS Roma,Left Wing,1205,0.0412,not recommended,0.2988,1.195,0.1029,7.8423,1.2697,18.6722
Robin Quaison,Palermo,Left Wing,1579,0.0403,not recommended,0.171,1.14,0.0658,8.6067,1.197,27.4161
Anthony Mounier,Bologna,Right Wing,1983,0.04,not recommended,0.2723,0.9531,0.1464,10.5749,1.2708,23.9637
Boško Janković,Hellas Verona,Right Wing,941,0.0314,not recommended,0.0956,1.4346,0.123,7.9384,0.2869,12.9118
Luca Rizzo,Bologna,Right Wing,1496,0.0269,not recommended,0.1203,1.0829,0.0812,5.6551,0.7219,23.4024
Carlos Mario Carbonero Mancilla,Sampdoria,Right Wing,1073,0.0154,not recommended,0.1678,0.5033,0.0581,7.8006,0.9226,24.576
